Id,Name,CreatedDate,IsDeleted,LastModifiedDate,AQB__Gift__c,AQB__Account__c,AQB__Amount__c,AQB__Balance__c,AQB__Batch__c,AQB__ConditionalPledge__c,AQB__Date__c,AQB__Method__c,AQB__PledgeStipulation__c,AQB__PledgePayment__c,AQB__Type__c
a2EVa00000006yPMAQ,014027259,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDApIAO,001Va000002eduWIAQ,50,0,,false,1996-10-24,Check,,false,Payment
a2EVa00000006yQMAQ,014027260,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAqIAO,001Va000002eduWIAQ,50,0,,false,1994-09-12,Check,,false,Payment
a2EVa00000006yRMAQ,014027261,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDArIAO,001Va000002eduWIAQ,50,0,,false,1992-11-24,Check,,false,Payment
a2EVa00000006ySMAQ,014027262,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAsIAO,001Va000002eduWIAQ,25,0,,false,1991-05-20,Check,,false,Payment
a2EVa00000006yTMAQ,014027263,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAtIAO,001Va000002eduWIAQ,50,0,,false,1990-12-24,Check,,false,Payment
a2EVa00000006yUMAQ,014027264,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAuIAO,001Va000002eduWIAQ,50,0,,false,2012-12-14,Check,,false,Payment
a2EVa00000006yVMAQ,014027265,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAvIAO,001Va000002eduWIAQ,50,0,,false,2013-08-05,Check,,false,Payment
a2EVa00000006yWMAQ,014027266,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBCIA4,001Va000002eduXIAQ,25,0,,false,2000-12-15,Check,,false,Payment
a2EVa00000006yXMAQ,014027267,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBDIA4,001Va000002eduXIAQ,25,0,,false,1999-03-17,Check,,false,Payment
a2EVa00000006yYMAQ,014027268,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBEIA4,001Va000002eduXIAQ,25,0,,false,1998-10-16,Check,,false,Payment
a2EVa00000006yZMAQ,014027269,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBFIA4,001Va000002eduXIAQ,25,0,,false,1998-04-10,Check,,false,Payment
a2EVa00000006yaMAA,014027270,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBGIA4,001Va000002eduXIAQ,25,0,,false,1997-12-09,Check,,false,Payment
a2EVa00000006ybMAA,014027271,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBHIA4,001Va000002eduXIAQ,25,0,,false,1997-03-31,Check,,false,Payment
a2EVa00000006ycMAA,014027272,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBIIA4,001Va000002eduXIAQ,25,0,,false,1996-04-23,Check,,false,Payment
a2EVa00000006ydMAA,014027273,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBJIA4,001Va000002eduXIAQ,25,0,,false,1995-04-04,Check,,false,Payment
a2EVa00000006yeMAA,014027274,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBKIA4,001Va000002eduXIAQ,20,0,,false,1994-10-12,Check,,false,Payment
a2EVa00000006yfMAA,014027275,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBLIA4,001Va000002eduXIAQ,25,0,,false,1990-12-27,Check,,false,Payment
a2EVa00000006ygMAA,014027276,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBMIA4,001Va000002eduXIAQ,20,0,,false,1990-07-15,Check,,false,Payment
a2EVa00000006yhMAA,014027277,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBNIA4,001Va000002eduYIAQ,50,0,,false,1990-08-11,Check,,false,Payment
a2EVa00000006yiMAA,014027278,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBOIA4,001Va000002eduYIAQ,20,0,,false,1991-12-03,Check,,false,Payment
a2EVa00000006yjMAA,014027279,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBPIA4,001Va000002eduYIAQ,20,0,,false,1994-07-12,Check,,false,Payment
a2EVa00000006ykMAA,014027280,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDBQIA4,001Va000002eduYIAQ,20,0,,false,1993-05-24,Check,,false,Payment
